Predio;I.D. Faena;Nå¡ Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;Nå¡ AutorizaciÌ?n SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;Nå¡ Aplica Periodo.;Nå¼ aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. TÌ©rmino;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;ConcentraciÌ?n;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador TÌ©cnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
Camino Truncado, Puente Alto y La Chimbera;;;;;1/9/2025;;;Nutri 1075M;;;;20.463,00;Litros;;;;;;;;;;;Camino Truncado;;;9,9;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;9,9;100;61;239;USD 7.571,00
Camino Truncado, Puente Alto y La Chimbera;;;;;1/9/2025;;;NUTRI 1683 M;;;;44.330,00;Litros;;;;;;;;;;;Camino Truncado;;;57;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;31;80;41;180;USD 17.288,00
Camino Truncado, Puente Alto y La Chimbera;;;;;1/9/2025;;;Nutri 1075M;;;;83.300,00;Litros;;;;;;;;;;;La Chimbera;;;40,3;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;40,3;100;61;239;USD 30.821,00
Camino Truncado, Puente Alto y La Chimbera;;;;SELMA;1/9/2025;;;NUTRI 1684 M;;;;7.103,00;Litros;;;;;;;;;;;Puente Alto;;;6,28;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;6,28;70;30;140;USD 2.770,00
Camino Truncado, Puente Alto y La Chimbera;;;;FLAME;1/9/2025;;;NUTRI 1683 M;;;;7.336,00;Litros;;;;;;;;;;;Puente Alto;;;5,13;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;5,13;80;41;180;USD 2.861,00
Camino Truncado, Puente Alto y La Chimbera;;;;FLAME;1/9/2025;;;Nutri 1075M;;;;19.720,00;Litros;;;;;;;;;;;Puente Alto;;;9,54;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;9,66;100;61;239;USD 7.296,00
Camino Truncado, Puente Alto y La Chimbera;;;;ARIZUL;1/9/2025;;;NUTRI 1683 M;;;;8.323,00;Litros;;;;;;;;;;;Puente Alto;;;5,82;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;5,82;80;41;180;USD 3.246,00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camino Truncado, Puente Alto y La Chimbera;;;;FIESTA;5/3/2026;;;BIO-CRECIMIENTO;;;;4.128,10;Litros;;;;;;;;;;;Camino Truncado;;;9,9;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;9,9;100;;;
Camino Truncado, Puente Alto y La Chimbera;;;;;5/3/2026;;;BIO-CRECIMIENTO;;;;9.048,50;Litros;;;;;;;;;;;Camino Truncado;;;31;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;31;70;;;
Camino Truncado, Puente Alto y La Chimbera;;;;;5/3/2026;;;BIO-CRECIMIENTO;;;;16.804,30;Litros;;;;;;;;;;;La Chimbera;;;40,3;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;40,3;100;;;
Camino Truncado, Puente Alto y La Chimbera;;;;;5/3/2026;;;BIO-CRECIMIENTO;;;;1.309,30;Litros;;;;;;;;;;;Puente Alto;;;6,28;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;6,28;50;;;
Camino Truncado, Puente Alto y La Chimbera;;;;;5/3/2026;;;BIO-CRECIMIENTO;;;;1.497,40;Litros;;;;;;;;;;;Puente Alto;;2;5,13;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;5,13;70;;;
Camino Truncado, Puente Alto y La Chimbera;;;;;5/3/2026;;;BIO-CRECIMIENTO;;;;1.991,10;Litros;;;;;;;;;;;Puente Alto;;3;4,77;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;4,77;100;;;
Camino Truncado, Puente Alto y La Chimbera;;;;;5/3/2026;;;BIO-CRECIMIENTO;;;;1.991,10;Litros;;;;;;;;;;;Puente Alto;;4;4,77;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;4,77;100;;;
Camino Truncado, Puente Alto y La Chimbera;;;;;5/3/2026;;;BIO-CRECIMIENTO;;;;1.698,80;Litros;;;;;;;;;;;Puente Alto;;5;5,82;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;5,82;70;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.162;82162;Uva;Flame;30/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;106,921;Litros;0,000;Hectareas;41,930;2,55;106,92;0,00;0,00;Total;9;0;Puente Alto;3;3;5,11;30/3/2026;08:00:00;30/3/2026;05:00:00;0;0;0;31/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;17;1.817,607;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.163;82163;Uva;Flame;30/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;93,084;Litros;0,000;Hectareas;41,930;2,22;93,08;0,00;0,00;Total;9;0;Puente Alto;4;4;4,44;30/3/2026;08:00:00;30/3/2026;05:00:00;0;0;0;31/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;17;1.582,406;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.164;82164;Uva;Flame;30/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;200,000;Litros;0,000;Hectareas;0,000;5,13;0,00;0,00;0,00;Total;8;0;Puente Alto;2;2;5,13;30/3/2026;11:00:00;30/3/2026;08:00:00;0;0;0;31/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;8;1.600,000;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.16;82160;Uva;Flame;29/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;106,921;Litros;0,000;Hectareas;41,930;2,55;106,92;0,00;0,00;Total;8;0;Puente Alto;3;3;5,11;;;;;0;0;0;;;;Pendiente;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;16;1.710,686;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.161;82161;Uva;Flame;29/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;93,084;Litros;0,000;Hectareas;41,930;2,22;93,08;0,00;0,00;Total;8;0;Puente Alto;4;4;4,44;;;;;0;0;0;;;;Pendiente;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;16;1.489,322;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.165;1613;Uva;Arizul;29/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;79,725;Litros;0,000;Hectareas;0,000;2,32;0,00;0,00;0,00;Total;7;0;Puente Alto;5;5;2,32;;;;;0;0;0;;;;Pendiente;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;7;558,075;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.166;1613;Uva;Arizul;29/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;120,275;Litros;0,000;Hectareas;0,000;3,50;0,00;0,00;0,00;Total;7;0;Puente Alto;6;6;3,50;;;;;0;0;0;;;;Pendiente;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;7;841,925;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.157;82157;Uva;Flame;28/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;106,921;Litros;0,000;Hectareas;41,930;2,55;106,92;0,00;0,00;Total;8;0;Puente Alto;3;3;5,11;28/3/2026;11:00:00;28/3/2026;08:00:00;0;0;0;29/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;15;1.603,765;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.158;82158;Uva;Flame;28/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;93,084;Litros;0,000;Hectareas;41,930;2,22;93,08;0,00;0,00;Total;8;0;Puente Alto;4;4;4,44;28/3/2026;11:00:00;28/3/2026;08:00:00;0;0;0;29/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;15;1.396,238;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.159;82159;Uva;Flame;28/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;200,000;Litros;0,000;Hectareas;0,000;5,13;0,00;0,00;0,00;Total;7;0;Puente Alto;2;2;5,13;28/3/2026;08:00:00;28/3/2026;05:00:00;0;0;0;29/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;7;1.400,000;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.146;82146;Uva;Flame;27/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;106,921;Litros;0,000;Hectareas;41,930;2,55;106,92;0,00;0,00;Total;7;0;Puente Alto;3;3;5,11;27/3/2026;08:00:00;27/3/2026;05:00:00;0;0;0;28/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;14;1.496,844;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;82.156;82156;Uva;Flame;27/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;93,062;Litros;0,000;Hectareas;41,920;2,22;93,06;0,00;0,00;Total;7;0;Puente Alto;4;4;4,44;27/3/2026;08:00:00;27/3/2026;05:00:00;0;0;0;28/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;14;1.303,154;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.905;1591;Uva;Flame;25/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;54,054;Litros;0,000;Hectareas;0,000;1,50;0,00;0,00;0,00;Total;5;0;Camino Truncado;20;20;1,50;25/3/2026;08:00:00;25/3/2026;17:00:00;0;0;0;26/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;5;270,270;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.906;1591;Uva;Flame;25/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;93,693;Litros;0,000;Hectareas;0,000;2,60;0,00;0,00;0,00;Total;5;0;Camino Truncado;21;21;2,60;25/3/2026;08:00:00;25/3/2026;17:00:00;0;0;0;26/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;5;468,465;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.907;1591;Uva;Flame;25/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;50,450;Litros;0,000;Hectareas;0,000;1,40;0,00;0,00;0,00;Total;5;0;Camino Truncado;23;23;1,40;25/3/2026;08:00:00;25/3/2026;17:00:00;0;0;0;26/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;5;252,250;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.908;1591;Uva;Sultanina;25/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;108,111;Litros;0,000;Hectareas;0,000;3,00;0,00;0,00;0,00;Total;5;0;Camino Truncado;51;51;3,00;25/3/2026;08:00:00;25/3/2026;17:00:00;0;0;0;26/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;5;540,555;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.909;1591;Uva;Flame;25/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;64,864;Litros;0,000;Hectareas;0,000;1,80;0,00;0,00;0,00;Total;5;0;Camino Truncado;56;56;1,80;25/3/2026;08:00:00;25/3/2026;17:00:00;0;0;0;26/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;5;324,320;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.91;1591;Uva;Flame;25/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;28,828;Litros;0,000;Hectareas;0,000;0,80;0,00;0,00;0,00;Total;5;0;Camino Truncado;57;57;0,80;25/3/2026;08:00:00;25/3/2026;17:00:00;0;0;0;26/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;5;144,140;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.926;1595;Uva;Fiesta;24/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;47,979;Litros;0,000;Hectareas;0,000;1,90;0,00;0,00;0,00;Total;4;0;Camino Truncado;10;10;1,90;24/3/2026;08:00:00;24/3/2026;17:00:00;0;0;0;25/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;191,916;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.927;1595;Uva;Fiesta;24/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;70,709;Litros;0,000;Hectareas;0,000;2,80;0,00;0,00;0,00;Total;4;0;Camino Truncado;22;22;2,80;24/3/2026;08:00:00;24/3/2026;17:00:00;0;0;0;25/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;282,836;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.928;1595;Uva;Fiesta;24/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;55,555;Litros;0,000;Hectareas;0,000;2,20;0,00;0,00;0,00;Total;4;0;Camino Truncado;53;53;2,20;24/3/2026;08:00:00;24/3/2026;17:00:00;0;0;0;25/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;222,220;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.929;1595;Uva;Fiesta;24/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;53,030;Litros;0,000;Hectareas;0,000;2,10;0,00;0,00;0,00;Total;4;0;Camino Truncado;55;55;2,10;24/3/2026;08:00:00;24/3/2026;17:00:00;0;0;0;25/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;212,120;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.93;1595;Uva;Fiesta;24/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;22,727;Litros;0,000;Hectareas;0,000;0,90;0,00;0,00;0,00;Total;4;0;Camino Truncado;59;59;0,90;24/3/2026;08:00:00;24/3/2026;17:00:00;0;0;0;25/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;90,908;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.899;1590;Uva;Flame;23/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;54,054;Litros;0,000;Hectareas;0,000;1,50;0,00;0,00;0,00;Total;4;0;Camino Truncado;20;20;1,50;23/3/2026;08:00:00;23/3/2026;17:00:00;0;0;0;24/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;;;;;;;;marcelow;$ 0,0;;0;;0;4;216,216;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.9;1590;Uva;Flame;23/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;93,693;Litros;0,000;Hectareas;0,000;2,60;0,00;0,00;0,00;Total;4;0;Camino Truncado;21;21;2,60;23/3/2026;08:00:00;23/3/2026;17:00:00;0;0;0;24/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;;;;;;;;marcelow;$ 0,0;;0;;0;4;374,772;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.901;1590;Uva;Flame;23/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;50,450;Litros;0,000;Hectareas;0,000;1,40;0,00;0,00;0,00;Total;4;0;Camino Truncado;23;23;1,40;23/3/2026;08:00:00;23/3/2026;17:00:00;0;0;0;24/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;;;;;;;;marcelow;$ 0,0;;0;;0;4;201,800;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.902;1590;Uva;Sultanina;23/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;108,111;Litros;0,000;Hectareas;0,000;3,00;0,00;0,00;0,00;Total;4;0;Camino Truncado;51;51;3,00;23/3/2026;08:00:00;23/3/2026;17:00:00;0;0;0;24/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;;;;;;;;marcelow;$ 0,0;;0;;0;4;432,444;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.903;1590;Uva;Flame;23/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;64,864;Litros;0,000;Hectareas;0,000;1,80;0,00;0,00;0,00;Total;4;0;Camino Truncado;56;56;1,80;23/3/2026;08:00:00;23/3/2026;17:00:00;0;0;0;24/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;;;;;;;;marcelow;$ 0,0;;0;;0;4;259,456;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.904;1590;Uva;Flame;23/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;28,828;Litros;0,000;Hectareas;0,000;0,80;0,00;0,00;0,00;Total;4;0;Camino Truncado;57;57;0,80;23/3/2026;08:00:00;23/3/2026;17:00:00;0;0;0;24/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;;;;;;;;marcelow;$ 0,0;;0;;0;4;115,312;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.931;1596;Uva;Fiesta;21/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;47,979;Litros;0,000;Hectareas;0,000;1,90;0,00;0,00;0,00;Total;4;0;Camino Truncado;10;10;1,90;21/3/2026;08:00:00;21/3/2026;17:00:00;0;0;0;22/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;191,916;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.932;1596;Uva;Fiesta;21/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;70,709;Litros;0,000;Hectareas;0,000;2,80;0,00;0,00;0,00;Total;4;0;Camino Truncado;22;22;2,80;21/3/2026;08:00:00;21/3/2026;17:00:00;0;0;0;22/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;282,836;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.933;1596;Uva;Fiesta;21/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;55,555;Litros;0,000;Hectareas;0,000;2,20;0,00;0,00;0,00;Total;4;0;Camino Truncado;53;53;2,20;21/3/2026;08:00:00;21/3/2026;17:00:00;0;0;0;22/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;222,220;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.934;1596;Uva;Fiesta;21/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;53,030;Litros;0,000;Hectareas;0,000;2,10;0,00;0,00;0,00;Total;4;0;Camino Truncado;55;55;2,10;21/3/2026;08:00:00;21/3/2026;17:00:00;0;0;0;22/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;212,120;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.935;1596;Uva;Fiesta;21/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;22,727;Litros;0,000;Hectareas;0,000;0,90;0,00;0,00;0,00;Total;4;0;Camino Truncado;59;59;0,90;21/3/2026;08:00:00;21/3/2026;17:00:00;0;0;0;22/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;90,908;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.921;1594;Uva;Fiesta;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;47,979;Litros;0,000;Hectareas;0,000;1,90;0,00;0,00;0,00;Total;3;0;Camino Truncado;10;10;1,90;20/3/2026;08:00:00;20/3/2026;17:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;3;143,937;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.922;1594;Uva;Fiesta;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;70,709;Litros;0,000;Hectareas;0,000;2,80;0,00;0,00;0,00;Total;3;0;Camino Truncado;22;22;2,80;20/3/2026;08:00:00;20/3/2026;17:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;3;212,127;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.923;1594;Uva;Fiesta;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;55,555;Litros;0,000;Hectareas;0,000;2,20;0,00;0,00;0,00;Total;3;0;Camino Truncado;53;53;2,20;20/3/2026;08:00:00;20/3/2026;17:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;3;166,665;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.924;1594;Uva;Fiesta;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;53,030;Litros;0,000;Hectareas;0,000;2,10;0,00;0,00;0,00;Total;3;0;Camino Truncado;55;55;2,10;20/3/2026;08:00:00;20/3/2026;17:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;3;159,090;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.925;1594;Uva;Fiesta;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;22,727;Litros;0,000;Hectareas;0,000;0,90;0,00;0,00;0,00;Total;3;0;Camino Truncado;59;59;0,90;20/3/2026;08:00:00;20/3/2026;17:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;3;68,181;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.732;1586;Uva;Arizul;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;90,621;Litros;0,000;Hectareas;0,000;3,20;0,00;0,00;0,00;Total;4;0;Camino Truncado;17;17;3,20;19/3/2026;23:00:00;20/3/2026;08:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;362,484;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.733;1586;Uva;Flame;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;84,955;Litros;0,000;Hectareas;0,000;3,00;0,00;0,00;0,00;Total;4;0;Camino Truncado;4;4;3,00;19/3/2026;23:00:00;20/3/2026;08:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;339,820;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.734;1586;Uva;Arizul;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;67,964;Litros;0,000;Hectareas;0,000;2,40;0,00;0,00;0,00;Total;4;0;Camino Truncado;8;8;2,40;19/3/2026;23:00:00;20/3/2026;08:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;271,856;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.735;1586;Uva;Sultanina;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;76,460;Litros;0,000;Hectareas;0,000;2,70;0,00;0,00;0,00;Total;4;0;Camino Truncado;9;9;2,70;19/3/2026;23:00:00;20/3/2026;08:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;4;305,840;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;81.893;1589;Uva;Flame;20/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;54,054;Litros;0,000;Hectareas;0,000;1,50;0,00;0,00;0,00;Total;3;0;Camino Truncado;20;20;1,50;20/3/2026;08:00:00;20/3/2026;17:00:00;0;0;0;21/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;marcelow;$ 0,0;;0;;0;3;162,162;Real;;;;;
