Predio;I.D. Faena;Nå¡ Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;Nå¡ AutorizaciÌ?n SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;Nå¡ Aplica Periodo.;Nå¼ aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. TÌ©rmino;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;ConcentraciÌ?n;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador TÌ©cnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
Camino Truncado, Puente Alto y La Chimbera;69.925;;;Arizul;17/11/2025;;p-144;Nutri 1075M;;;;485,128;Litros;0,000;Hectareas;173,260;;;0,00;0,00;Total;1;0;La Chimbera;24;24;2,80;13/11/2025;23:00:00;14/11/2025;08:00:00;0;0;0;15/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,4;;0;;0;4;1.940,552;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.926;;;Arizul;17/11/2025;;p-169;Nutri 050 V;;;;160,776;Litros;0,000;Hectareas;55,440;;;0,00;0,00;Total;1;0;La Chimbera;27;27;2,90;13/11/2025;23:00:00;14/11/2025;08:00:00;0;0;0;15/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;1;160,776;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.926;;;Arizul;17/11/2025;;p-144;Nutri 1075M;;;;502,454;Litros;0,000;Hectareas;173,260;;;0,00;0,00;Total;1;0;La Chimbera;27;27;2,90;13/11/2025;23:00:00;14/11/2025;08:00:00;0;0;0;15/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,5;;0;;0;4;2.009,858;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.927;;;Fiesta;17/11/2025;;p-169;Nutri 050 V;;;;251,416;Litros;0,000;Hectareas;57,140;;;0,00;0,00;Total;1;0;La Chimbera;20;20;4,40;14/11/2025;23:00:00;15/11/2025;08:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,2;;0;;0;1;251,416;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.927;;;Fiesta;17/11/2025;;p-144;Nutri 1075M;;;;785,708;Litros;0,000;Hectareas;178,570;;;0,00;0,00;Total;1;0;La Chimbera;20;20;4,40;14/11/2025;23:00:00;15/11/2025;08:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,7;;0;;0;4;3.142,832;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.928;;;Fiesta;17/11/2025;;p-169;Nutri 050 V;;;;148,564;Litros;0,000;Hectareas;57,140;;;0,00;0,00;Total;1;0;La Chimbera;22;22;2,60;14/11/2025;23:00:00;15/11/2025;08:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;1;148,564;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.928;;;Fiesta;17/11/2025;;p-144;Nutri 1075M;;;;464,282;Litros;0,000;Hectareas;178,570;;;0,00;0,00;Total;1;0;La Chimbera;22;22;2,60;14/11/2025;23:00:00;15/11/2025;08:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,4;;0;;0;4;1.857,128;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.929;;;Fiesta;17/11/2025;;p-169;Nutri 050 V;;;;159,992;Litros;0,000;Hectareas;57,140;;;0,00;0,00;Total;1;0;La Chimbera;23;23;2,80;14/11/2025;23:00:00;15/11/2025;08:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;1;159,992;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.929;;;Fiesta;17/11/2025;;p-144;Nutri 1075M;;;;499,996;Litros;0,000;Hectareas;178,570;;;0,00;0,00;Total;1;0;La Chimbera;23;23;2,80;14/11/2025;23:00:00;15/11/2025;08:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,5;;0;;0;4;1.999,984;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.93;;;Flame;17/11/2025;;p-144;Nutri 1075M;;;;197,876;Litros;0,000;Hectareas;53,480;;;0,00;0,00;Total;1;0;La Chimbera;15;15;3,70;15/11/2025;08:00:00;15/11/2025;18:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,2;;0;;0;5;2.574,017;Real;;;;;
