Predio;I.D. Faena;N� Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;N� Autorizaci�?n SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N� Aplica Periodo.;N� aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. T̩rmino;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentraci�?n;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador T̩cnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
El espejo;;;;FLAME;1/9/2025;;;NUTRI 1075 M;;;;61.183,00;Litros;;;;;;;;;;;EEI;EEI 1;;29,6;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;29,6;100;61;239;USD 25.934,00
El espejo;;;;;1/9/2025;;;NUTRI 1075 M;;;;8.909,00;Litros;;;;;;;;;;;EEI;EEI 2 ;;4,31;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;4,31;100;61;239;
El espejo;;;;FLAME;1/9/2025;;;NUTRI 1683 M;;;;30.202,00;Litros;;;;;;;;;;;EEI;EEI 2;;21,12;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;21,12;80;41;180;USD 11.779,00
El espejo;;;;FLAME;1/9/2025;;;NUTRI 1075 M;;;;45.805,00;Litros;;;;;;;;;;;EEII;EEII 1;;22,16;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;22,16;100;61;239;USD 16.948,00
El espejo;;;;SELMA;1/9/2025;;;NUTRI 1683 M;;;;63.378,00;Litros;;;;;;;;;;;EEII;EEII 1;;44,32;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;44,32;80;41;180;USD 24.717,00
El espejo;;;;FIESTA;1/9/2025;;;NUTRI 1683 M;;;;39.511,00;Litros;;;;;;;;;;;EEII;EEII 2;;27,63;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;27,63;80;41;180;USD 15.409,00
El espejo;;;;FIESTA;1/9/2025;;;NUTRI 1684 M;;EEIII;EEIII 3 A;39.483,00;Litros;;;;;;;;;;;EEIII;EEIII 3 A;;34,91;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;34,91;70;30;140;USD 15.389,00
El espejo;;;;;1/9/2025;;;NUTRI 1684 M;;EEIII;EEIII 3 B;37.312,00;Litros;;;;;;;;;;;EEIII;EEIII 3 B;;32,99;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;32,99;70;30;140;USD 14.552,00
El espejo;;;;;1/9/2025;;;NUTRI 1684 M;;EEIII;EEIII 4;35.231,00;Litros;;;;;;;;;;;EEIII;EEIII 4;;31,15;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;31,15;70;30;140;USD 13.740,00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El espejo;;;;;5/3/2026;;;BIO-CRECIMIENTO;;EEIII;EEIII 3 A;7.278,40;Litros;;;;;;;;;;;EEIII;EEIII 3 A;;34,91;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;34,91;50;;;
El espejo;;;;;5/3/2026;;;BIO-CRECIMIENTO;;EEIII;EEIII 3 B;6.878,10;Litros;;;;;;;;;;;EEIII;EEIII 3 B;;32,99;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;32,99;50;;;
El espejo;;;;;5/3/2026;;;BIO-CRECIMIENTO;;EEIII;EEIII 4;6.494,50;Litros;;;;;;;;;;;EEIII;EEIII 4;;31,15;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;31,15;50;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El espejo;;;;;5/3/2026;;;BIO-CRECIMIENTO;;EEI;;14.139,80;Litros;;;;;;;;;;;EEI;EEI 1;;33,91;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;;100;;;
El espejo;;;;;5/3/2026;;;BIO-CRECIMIENTO;;EEI;;6.164,60;Litros;;;;;;;;;;;EEI;EEI 2;;21,12;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;;70;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El espejo;;;;FLAME;5/3/2026;;;BIO-CRECIMIENTO;;EEII;;9.240,30;Litros;;;;;;;;;;;EEII;EEII 1;;22,16;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;;100;;;
El espejo;;;;SELMA;5/3/2026;;;BIO-CRECIMIENTO;;EEII;;12.936,40;Litros;;;;;;;;;;;EEII;EEII 1;;44,32;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;;70;;;
El espejo;;;;FIESTA;5/3/2026;;;BIO-CRECIMIENTO;;EEII;;8.064,80;Litros;;;;;;;;;;;EEII;EEII 2;;27,63;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;;70;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El espejo;80.887;1550;Uva;Selma;14/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;230,941;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;4;5,54;14/3/2026;;14/3/2026;;0;0;0;15/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 275,6;;0;;0;4;923,764;Real;;;;;
El espejo;80.886;1550;Uva;Selma;14/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;230,939;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;3;5,54;14/3/2026;;14/3/2026;;0;0;0;15/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 275,0;;0;;0;4;923,756;Real;;;;;
El espejo;80.885;1550;Uva;Selma;14/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;230,939;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;2;5,54;14/3/2026;;14/3/2026;;0;0;0;15/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 275,0;;0;;0;4;923,756;Real;;;;;
El espejo;80.884;1550;Uva;Fiesta;14/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;142,982;Litros;0,000;Hectareas;0,000;3,43;0,00;0,00;0,00;Total;4;0;EEII;EEII 2;17;3,43;14/3/2026;;14/3/2026;;0;0;0;15/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 170,0;;0;;0;4;571,928;Real;;;;;
El espejo;80.883;1550;Uva;Fiesta;14/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;204,260;Litros;0,000;Hectareas;0,000;4,90;0,00;0,00;0,00;Total;4;0;EEII;EEII 2;16;4,90;14/3/2026;;14/3/2026;;0;0;0;15/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 243,0;;0;;0;4;817,040;Real;;;;;
El espejo;80.882;1550;Uva;Selma;14/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;230,939;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;1;5,54;14/3/2026;;14/3/2026;;0;0;0;15/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 275,0;;0;;0;4;923,756;Real;;;;;
El espejo;81.085;81085;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;121,000;Litros;0,000;Hectareas;0,000;3,05;0,00;0,00;0,00;Total;4;0;EEI;EEI 2;14;5,11;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 143,9;;0;;0;8;724,000;Real;;;;;
El espejo;81.084;81084;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;74,000;Litros;0,000;Hectareas;0,000;1,86;0,00;0,00;0,00;Total;4;0;EEI;EEI 2;11;4,07;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 88,0;;0;;0;12;560,000;Real;;;;;
El espejo;81.083;81083;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;108,000;Litros;0,000;Hectareas;0,000;2,74;0,00;0,00;0,00;Total;4;0;EEI;EEI 1;7;6,01;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 128,5;;0;;0;8;964,000;Real;;;;;
El espejo;81.082;81082;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;157,000;Litros;0,000;Hectareas;0,000;3,95;0,00;0,00;0,00;Total;4;0;EEI;EEI 1;4;6,31;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 186,8;;0;;0;8;1.020,000;Real;;;;;
El espejo;81.077;81077;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;60,000;Litros;0,000;Hectareas;0,000;2,05;0,00;0,00;0,00;Total;3;0;EEI;EEI 2;14;5,11;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,4;;0;;0;6;482,000;Real;;;;;
El espejo;81.076;81076;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;33,000;Litros;0,000;Hectareas;0,000;1,14;0,00;0,00;0,00;Total;4;0;EEI;EEI 2;12;2,29;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 39,2;;0;;0;8;268,000;Real;;;;;
El espejo;81.075;81075;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;26,000;Litros;0,000;Hectareas;0,000;0,85;0,00;0,00;0,00;Total;3;0;EEI;EEI 2;11;4,07;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 30,9;;0;;0;10;412,000;Real;;;;;
El espejo;81.074;81074;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;48,000;Litros;0,000;Hectareas;0,000;1,64;0,00;0,00;0,00;Total;4;0;EEI;EEI 2;10;1,64;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 57,1;;0;;0;4;192,000;Real;;;;;
El espejo;81.073;81073;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;96,000;Litros;0,000;Hectareas;0,000;3,31;0,00;0,00;0,00;Total;4;0;EEI;EEI 2;3;6,31;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 114,2;;0;;0;8;732,000;Real;;;;;
El espejo;80.875;1548;Uva;Selma;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;230,975;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;8;5,54;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 275,0;;0;;0;4;923,900;Real;;;;;
El espejo;80.874;1548;Uva;Selma;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;230,981;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;7;5,54;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 275,5;;0;;0;4;923,924;Real;;;;;
El espejo;80.873;1548;Uva;Selma;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;230,975;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;6;5,54;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 275,0;;0;;0;4;923,900;Real;;;;;
El espejo;80.872;1548;Uva;Selma;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;230,975;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;5;5,54;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 275,0;;0;;0;4;923,900;Real;;;;;
El espejo;80.871;1548;Uva;Fiesta;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;132,998;Litros;0,000;Hectareas;0,000;3,19;0,00;0,00;0,00;Total;4;0;EEII;EEII 2;21;3,19;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 158,0;;0;;0;4;531,992;Real;;;;;
El espejo;80.87;1548;Uva;Fiesta;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;149,675;Litros;0,000;Hectareas;0,000;3,59;0,00;0,00;0,00;Total;4;0;EEII;EEII 2;19;3,59;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 178,0;;0;;0;4;598,700;Real;;;;;
El espejo;80.869;1548;Uva;Fiesta;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;143,421;Litros;0,000;Hectareas;0,000;3,44;0,00;0,00;0,00;Total;4;0;EEII;EEII 2;15;3,44;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 171,0;;0;;0;4;573,684;Real;;;;;
El espejo;80.861;1546;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;301,117;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;9;5,54;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 358,0;;0;;0;4;1.204,468;Real;;;;;
El espejo;80.86;1546;Uva;Fiesta;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;254,373;Litros;0,000;Hectareas;0,000;4,68;0,00;0,00;0,00;Total;4;0;EEII;EEII 2;20;4,68;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 303,0;;0;;0;4;1.017,492;Real;;;;;
El espejo;80.859;1546;Uva;Fiesta;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;115,229;Litros;0,000;Hectareas;0,000;2,12;0,00;0,00;0,00;Total;4;0;EEII;EEII 2;18;2,12;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 137,0;;0;;0;4;460,916;Real;;;;;
El espejo;80.858;1546;Uva;Fiesta;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;123,925;Litros;0,000;Hectareas;0,000;2,28;0,00;0,00;0,00;Total;4;0;EEII;EEII 2;14;2,28;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 147,0;;0;;0;4;495,700;Real;;;;;
El espejo;80.857;1546;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;301,122;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;12;5,54;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 359,6;;0;;0;4;1.204,488;Real;;;;;
El espejo;80.856;1546;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;301,117;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;11;5,54;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 358,0;;0;;0;4;1.204,468;Real;;;;;
El espejo;80.855;1546;Uva;Flame;13/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;301,117;Litros;0,000;Hectareas;0,000;5,54;0,00;0,00;0,00;Total;4;0;EEII;EEII 1;10;5,54;13/3/2026;;13/3/2026;;0;0;0;14/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 358,0;;0;;0;4;1.204,468;Real;;;;;
El espejo;81.067;81067;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;34,000;Litros;0,000;Hectareas;0,000;1,14;0,00;0,00;0,00;Total;3;0;EEI;EEI 2;12;2,29;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 40,4;;0;;0;6;202,000;Real;;;;;
El espejo;81.066;81066;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;40,000;Litros;0,000;Hectareas;0,000;1,35;0,00;0,00;0,00;Total;3;0;EEI;EEI 2;11;4,07;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 47,6;;0;;0;8;360,000;Real;;;;;
El espejo;81.065;81065;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;60,000;Litros;0,000;Hectareas;0,000;2,03;0,00;0,00;0,00;Total;4;0;EEI;EEI 2;6;2,03;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,4;;0;;0;4;240,000;Real;;;;;
El espejo;81.064;81064;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;133,000;Litros;0,000;Hectareas;0,000;4,58;0,00;0,00;0,00;Total;4;0;EEI;EEI 2;5;4,58;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 158,2;;0;;0;4;532,000;Real;;;;;
El espejo;81.063;81063;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;87,000;Litros;0,000;Hectareas;0,000;3,00;0,00;0,00;0,00;Total;3;0;EEI;EEI 2;3;6,31;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 103,5;;0;;0;6;540,000;Real;;;;;
El espejo;81.044;81044;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;282,000;Litros;0,000;Hectareas;0,000;6,73;0,00;0,00;0,00;Total;4;0;EEI;EEI 1;9;6,73;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 335,5;;0;;0;4;1.128,000;Real;;;;;
El espejo;81.043;81043;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;98,000;Litros;0,000;Hectareas;0,000;2,35;0,00;0,00;0,00;Total;3;0;EEI;EEI 1;4;6,31;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 116,6;;0;;0;6;706,000;Real;;;;;
El espejo;81.042;81042;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;59,000;Litros;0,000;Hectareas;0,000;1,42;0,00;0,00;0,00;Total;4;0;EEI;EEI 1;2;2,85;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 70,2;;0;;0;8;468,000;Real;;;;;
El espejo;81.041;81041;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;65,000;Litros;0,000;Hectareas;0,000;1,57;0,00;0,00;0,00;Total;4;0;EEI;EEI 1;1;3,13;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 77,3;;0;;0;8;512,000;Real;;;;;
El espejo;80.913;1553;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;118,105;Litros;0,000;Hectareas;0,000;2,83;0,00;0,00;0,00;Total;3;0;EEIII;EEIII 4;47;2,83;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 141,0;;0;;0;3;354,315;Real;;;;;
El espejo;80.912;1553;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;152,327;Litros;0,000;Hectareas;0,000;3,65;0,00;0,00;0,00;Total;3;0;EEIII;EEIII 4;44;3,65;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 181,0;;0;;0;3;456,981;Real;;;;;
El espejo;80.911;1553;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;161,091;Litros;0,000;Hectareas;0,000;3,86;0,00;0,00;0,00;Total;3;0;EEIII;EEIII 4;41;3,86;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 192,0;;0;;0;3;483,273;Real;;;;;
El espejo;80.91;1553;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;169,438;Litros;0,000;Hectareas;0,000;4,06;0,00;0,00;0,00;Total;3;0;EEIII;EEIII 3 B;38;4,06;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 202,0;;0;;0;3;508,314;Real;;;;;
El espejo;80.909;1553;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;180,288;Litros;0,000;Hectareas;0,000;4,32;0,00;0,00;0,00;Total;3;0;EEIII;EEIII 3 B;35;4,32;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 215,0;;0;;0;3;540,864;Real;;;;;
El espejo;80.908;1553;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;189,474;Litros;0,000;Hectareas;0,000;4,54;0,00;0,00;0,00;Total;3;0;EEIII;EEIII 3 B;32;4,54;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 226,0;;0;;0;3;568,422;Real;;;;;
El espejo;80.907;1553;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;93,900;Litros;0,000;Hectareas;0,000;2,25;0,00;0,00;0,00;Total;3;0;EEIII;EEIII 3 A;29;2,25;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 112,0;;0;;0;3;281,700;Real;;;;;
El espejo;80.906;1553;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;83,467;Litros;0,000;Hectareas;0,000;2,00;0,00;0,00;0,00;Total;3;0;EEIII;EEIII 3 A;25;2,00;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 99,0;;0;;0;3;250,401;Real;;;;;
El espejo;80.905;1553;Uva;Flame;12/3/2026;Cosecha/Postcosecha;p-205;BIO-CRECIMIENTO;;;;151,910;Litros;0,000;Hectareas;0,000;3,64;0,00;0,00;0,00;Total;3;0;EEIII;EEIII 3 A;24;3,64;12/3/2026;;12/3/2026;;0;0;0;13/3/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 181,0;;0;;0;3;455,730;Real;;;;;
