Predio;I.D. Faena;N� Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;N� Autorizaci�?n SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N� Aplica Periodo.;N� aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. T̩rmino;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentraci�?n;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador T̩cnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
El espejo;46.5;46500;Uva;Flame;17/10/2024;Flor;p-114;TACOMA TEBUCONAZALE 43% X 5 L;;;;0,600;Litros;0,000;x 100Lts;0,600;6,01;3,60;0,00;1.502,50;Total;2;0;EEI;EEI 1;7;6,01;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,900;Real;;;;;
El espejo;46.5;46500;Uva;Flame;17/10/2024;Flor;p-113;ADHERENTE;;;;0,300;Litros;0,000;x 100Lts;0,300;6,01;1,80;0,00;1.502,50;Total;2;0;EEI;EEI 1;7;6,01;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,600;Real;;;;;
El espejo;46.499;46499;Uva;Flame;17/10/2024;Flor;p-109;ACIDO-FOSFORICO;;;;0,300;Litros;0,000;x 100Lts;0,300;6,31;1,89;0,00;1.577,50;Total;2;0;EEI;EEI 1;4;6,31;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,600;Real;;;;;
El espejo;46.499;46499;Uva;Flame;17/10/2024;Flor;p-114;TACOMA TEBUCONAZALE 43% X 5 L;;;;0,600;Litros;0,000;x 100Lts;0,600;6,31;3,78;0,00;1.577,50;Total;2;0;EEI;EEI 1;4;6,31;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,900;Real;;;;;
El espejo;46.499;46499;Uva;Flame;17/10/2024;Flor;p-117;OPONENTE;;;;0,600;Litros;0,000;x 100Lts;0,600;6,31;3,78;0,00;1.577,50;Total;2;0;EEI;EEI 1;4;6,31;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,900;Real;;;;;
El espejo;46.499;46499;Uva;Flame;17/10/2024;Flor;p-113;ADHERENTE;;;;0,300;Litros;0,000;x 100Lts;0,300;6,31;1,89;0,00;1.577,50;Total;2;0;EEI;EEI 1;4;6,31;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,600;Real;;;;;
El espejo;46.499;46499;Uva;Flame;17/10/2024;Flor;p-110;SULFATO DE MAGNESIO X 25 K MANUCHARD ;;;;3,000;Kilos;0,000;x 100Lts;3,000;6,31;18,93;0,00;1.577,50;Total;2;0;EEI;EEI 1;4;6,31;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;6,000;Real;;;;;
El espejo;46.499;46499;Uva;Flame;17/10/2024;Flor;p-111;SULFATO DE ZINC;;;;3,000;Kilos;0,000;x 100Lts;3,000;6,31;18,93;0,00;1.577,50;Total;2;0;EEI;EEI 1;4;6,31;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;6,000;Real;;;;;
El espejo;46.499;46499;Uva;Flame;17/10/2024;Flor;p-108;NITRATO DE CALCIO;;;;3,000;Kilos;0,000;x 100Lts;3,000;6,31;18,93;0,00;1.577,50;Total;2;0;EEI;EEI 1;4;6,31;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;6,000;Real;;;;;
El espejo;46.476;46476;Uva;Flame;17/10/2024;Flor;p-109;ACIDO-FOSFORICO;;;;0,300;Litros;0,000;x 100Lts;0,300;2,85;0,85;0,00;712,50;Total;1;0;EEI;EEI 1;2;2,85;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;1;0,300;Real;;;;;
El espejo;46.476;46476;Uva;Flame;17/10/2024;Flor;p-114;TACOMA TEBUCONAZALE 43% X 5 L;;;;0,600;Litros;0,000;x 100Lts;0,600;2,85;1,71;0,00;712,50;Total;1;0;EEI;EEI 1;2;2,85;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;1;0,600;Real;;;;;
El espejo;46.476;46476;Uva;Flame;17/10/2024;Flor;p-117;OPONENTE;;;;0,600;Litros;0,000;x 100Lts;0,600;2,85;1,71;0,00;712,50;Total;1;0;EEI;EEI 1;2;2,85;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;1;0,600;Real;;;;;
El espejo;46.476;46476;Uva;Flame;17/10/2024;Flor;p-110;SULFATO DE MAGNESIO X 25 K MANUCHARD ;;;;3,000;Kilos;0,000;x 100Lts;3,000;2,85;8,55;0,00;712,50;Total;1;0;EEI;EEI 1;2;2,85;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;1;3,000;Real;;;;;
El espejo;46.476;46476;Uva;Flame;17/10/2024;Flor;p-111;SULFATO DE ZINC;;;;3,000;Kilos;0,000;x 100Lts;3,000;2,85;8,55;0,00;712,50;Total;1;0;EEI;EEI 1;2;2,85;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;1;3,000;Real;;;;;
El espejo;46.476;46476;Uva;Flame;17/10/2024;Flor;p-108;NITRATO DE CALCIO;;;;3,000;Kilos;0,000;x 100Lts;3,000;2,85;8,55;0,00;712,50;Total;1;0;EEI;EEI 1;2;2,85;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;1;3,000;Real;;;;;
