I.D. Faena;N° Orden;Fecha;Clasifica;Código;Cuartel/Potrero;Cultivo;Variedad;Faena;Labor;Total Faena;Realizada;Total Jornadas;Trabajador;Usuario Login;Usuario;Est.Fenologico;Forma Pago;Estado Faena
81.123;;16/3/2026;La Chimbera;18;18 - Ha:4.400, Pl:7040;Uva;Flame;APLICACIONES;FERTILIZACION;$ 10.641,2;;0,49;;marcelow;juanpablo;;Día Lab.;Confirmada
81.122;;16/3/2026;La Chimbera;26;26 - Ha:2.900, Pl:4608;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 752,7;;0,34;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.121;;16/3/2026;La Chimbera;21;21 - Ha:2.200, Pl:3584;Uva;Flame;APLICACIONES;FERTILIZACION;$ 572,7;;0,26;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.12;;16/3/2026;La Chimbera;16;16 - Ha:4.400, Pl:7040;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.143,3;;0,52;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.119;;16/3/2026;La Chimbera;25;25 - Ha:2.800, Pl:4544;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 6.276,1;;0,29;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.118;;16/3/2026;La Chimbera;19;19 - Ha:2.200, Pl:3584;Uva;Flame;APLICACIONES;FERTILIZACION;$ 4.929,7;;0,23;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.117;;16/3/2026;La Chimbera;17;17 - Ha:2.200, Pl:3584;Uva;Flame;APLICACIONES;FERTILIZACION;$ 4.929,7;;0,23;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.116;;16/3/2026;La Chimbera;15;15 - Ha:3.700, Pl:5900;Uva;Flame;APLICACIONES;FERTILIZACION;$ 8.295,8;;0,38;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.213;81213;15/3/2026;Puente Alto;2;2 - Ha:5.130, Pl:8556;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.209;1555;15/3/2026;Puente Alto;6;6 - Ha:3.500, Pl:6481;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.208;1555;15/3/2026;Puente Alto;5;5 - Ha:2.320, Pl:4794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.176;81176;14/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.175;81175;14/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.169;81169;14/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.168;81168;14/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.759;1544;13/3/2026;Puente Alto;6;6 - Ha:3.500, Pl:6481;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.758;1544;13/3/2026;Puente Alto;5;5 - Ha:2.320, Pl:4794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.757;80757;13/3/2026;Puente Alto;2;2 - Ha:5.130, Pl:8556;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.756;80756;12/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.755;80755;12/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.754;80754;12/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;;Día Lab.;Confirmada
80.753;80753;12/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.595;80595;11/3/2026;Puente Alto;2;2 - Ha:5.130, Pl:8556;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.529;1535;11/3/2026;Puente Alto;6;6 - Ha:3.500, Pl:6481;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.528;1535;11/3/2026;Puente Alto;5;5 - Ha:2.320, Pl:4794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.614;80614;10/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.613;80613;10/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.597;80597;10/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
80.596;80596;10/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.594;80594;9/3/2026;Puente Alto;2;2 - Ha:5.130, Pl:8556;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
80.527;1534;9/3/2026;Puente Alto;6;6 - Ha:3.500, Pl:6481;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.526;1534;9/3/2026;Puente Alto;5;5 - Ha:2.320, Pl:4794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.592;80592;8/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.588;80588;8/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
