I.D. Faena;N° Orden;Fecha;Clasifica;Código;Cuartel/Potrero;Cultivo;Variedad;Faena;Labor;Total Faena;Realizada;Total Jornadas;Trabajador;Usuario Login;Usuario;Est.Fenologico;Forma Pago;Estado Faena
74.376;74376;17/12/2025;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
74.375;74375;17/12/2025;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
73.925;73925;17/12/2025;Puente Alto;2;2 - Ha:5.130, Pl:8556;Uva;Flame;APLICACIONES;HERBICIDA MOCHILA;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
72.982;;17/12/2025;La Chimbera;17;17 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;HERBICIDA MOCHILA;$ 26.531,2;;1,52;;;juanpablo;;Día Lab.;Confirmada
72.981;;17/12/2025;La Chimbera;15;15 - Ha:3.700, Pl:5900;;Flame;APLICACIONES;HERBICIDA MOCHILA;$ 44.218,7;;2,52;;;juanpablo;;Día Lab.;Confirmada
74.374;1253;16/12/2025;Puente Alto;6;6 - Ha:3.500, Pl:6481;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
74.373;1253;16/12/2025;Puente Alto;5;5 - Ha:2.320, Pl:4794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
73.924;73924;16/12/2025;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;HERBICIDA MOCHILA;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
73.083;1147;16/12/2025;Camino Truncado;57;57 - Ha:0.800, Pl:1391;Uva;Flame;APLICACIONES;HERBICIDA MOCHILA;$ 19.079,3;;0,84;;marcelow;;Pre-Cosecha;Día Lab.;Confirmada
73.082;1147;16/12/2025;Camino Truncado;54;54 - Ha:1.100, Pl:1794;Uva;Arizul;APLICACIONES;HERBICIDA MOCHILA;$ 26.347,6;;1,16;;marcelow;;Pre-Cosecha;Día Lab.;Confirmada
73.064;73064;16/12/2025;Camino Truncado;55;55 - Ha:2.100, Pl:3577;Uva;Fiesta;APLICACIONES;HERBICIDA MOCHILA;$ 57.586,2;;2,00;;marcelow;marcelow;Pre-Cosecha;Día Lab.;Confirmada
73.063;73063;16/12/2025;Camino Truncado;53;53 - Ha:2.200, Pl:3617;Uva;Fiesta;APLICACIONES;HERBICIDA MOCHILA;$ 20.000,0;;1,00;;marcelow;marcelow;Pre-Cosecha;Día Lab.;Confirmada
73.044;1144;16/12/2025;Camino Truncado;59;59 - Ha:0.900, Pl:1486;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 1.687,5;;0,09;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.043;1144;16/12/2025;Camino Truncado;55;55 - Ha:2.100, Pl:3577;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.937,5;;0,21;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.042;1144;16/12/2025;Camino Truncado;53;53 - Ha:2.200, Pl:3617;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 4.125,0;;0,22;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.041;1144;16/12/2025;Camino Truncado;22;22 - Ha:2.800, Pl:4692;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 5.437,5;;0,29;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.04;1144;16/12/2025;Camino Truncado;10;10 - Ha:1.900, Pl:3171;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.562,5;;0,19;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.057;73057;15/12/2025;Camino Truncado;53;53 - Ha:2.200, Pl:3617;Uva;Fiesta;APLICACIONES;HERBICIDA MOCHILA;$ 52.570,6;;2,00;;marcelow;marcelow;Pre-Cosecha;Día Lab.;Confirmada
73.056;73056;15/12/2025;Camino Truncado;52;52 - Ha:2.000, Pl:3332;Uva;Arizul;APLICACIONES;HERBICIDA MOCHILA;$ 29.555,2;;1,00;;marcelow;marcelow;Pre-Cosecha;Día Lab.;Confirmada
73.055;73055;15/12/2025;Camino Truncado;17;17 - Ha:3.200, Pl:6136;Uva;Arizul;APLICACIONES;HERBICIDA MOCHILA;$ 46.533,0;;4,00;;marcelow;marcelow;Pre-Cosecha;Día Lab.;Confirmada
73.039;1143;15/12/2025;Camino Truncado;59;59 - Ha:0.900, Pl:1486;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 1.687,5;;0,09;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.038;1143;15/12/2025;Camino Truncado;55;55 - Ha:2.100, Pl:3577;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.937,5;;0,21;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.037;1143;15/12/2025;Camino Truncado;53;53 - Ha:2.200, Pl:3617;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 4.125,0;;0,22;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.036;1143;15/12/2025;Camino Truncado;22;22 - Ha:2.800, Pl:4692;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 5.437,5;;0,29;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.035;1143;15/12/2025;Camino Truncado;10;10 - Ha:1.900, Pl:3171;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.562,5;;0,19;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.019;1139;14/12/2025;Camino Truncado;57;57 - Ha:0.800, Pl:1391;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.050,0;;0,07;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.018;1139;14/12/2025;Camino Truncado;56;56 - Ha:1.800, Pl:3009;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.400,0;;0,16;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.017;1139;14/12/2025;Camino Truncado;51;51 - Ha:3.000, Pl:4182;Uva;Sultanina;APLICACIONES;FERTILIZACION;$ 4.050,0;;0,27;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.016;1139;14/12/2025;Camino Truncado;23;23 - Ha:1.400, Pl:2412;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.950,0;;0,13;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.015;1139;14/12/2025;Camino Truncado;21;21 - Ha:2.600, Pl:4396;Uva;Flame;APLICACIONES;FERTILIZACION;$ 3.450,0;;0,23;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.014;1139;14/12/2025;Camino Truncado;20;20 - Ha:1.500, Pl:2449;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.100,0;;0,14;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
74.371;74371;13/12/2025;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
74.37;74370;13/12/2025;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
73.013;1138;13/12/2025;Camino Truncado;59;59 - Ha:0.900, Pl:1486;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 0,0;;0,09;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.012;1138;13/12/2025;Camino Truncado;55;55 - Ha:2.100, Pl:3577;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 0,0;;0,21;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.011;1138;13/12/2025;Camino Truncado;53;53 - Ha:2.200, Pl:3617;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 0,0;;0,22;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.01;1138;13/12/2025;Camino Truncado;22;22 - Ha:2.800, Pl:4692;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 0,0;;0,29;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.009;1138;13/12/2025;Camino Truncado;10;10 - Ha:1.900, Pl:3171;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 0,0;;0,19;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.413;;13/12/2025;La Chimbera;15;15 - Ha:3.700, Pl:5900;;Flame;APLICACIONES;HERBICIDA MOCHILA;$ 9.000,0;;0,50;;;juanpablo;;Día Lab.;Confirmada
74.364;74364;12/12/2025;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
74.363;74363;12/12/2025;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
73.851;1203;12/12/2025;Puente Alto;6;6 - Ha:3.500, Pl:6481;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
73.85;1203;12/12/2025;Puente Alto;5;5 - Ha:2.320, Pl:4794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
72.302;1088;12/12/2025;Camino Truncado;57;57 - Ha:0.800, Pl:1391;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.050,0;;0,07;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.301;1088;12/12/2025;Camino Truncado;56;56 - Ha:1.800, Pl:3009;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.400,0;;0,16;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.3;1088;12/12/2025;Camino Truncado;51;51 - Ha:3.000, Pl:4182;Uva;Sultanina;APLICACIONES;FERTILIZACION;$ 4.050,0;;0,27;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.299;1088;12/12/2025;Camino Truncado;23;23 - Ha:1.400, Pl:2412;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.950,0;;0,13;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.298;1088;12/12/2025;Camino Truncado;21;21 - Ha:2.600, Pl:4396;Uva;Flame;APLICACIONES;FERTILIZACION;$ 3.450,0;;0,23;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.297;1088;12/12/2025;Camino Truncado;20;20 - Ha:1.500, Pl:2449;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.100,0;;0,14;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.29;1086;11/12/2025;Camino Truncado;59;59 - Ha:0.900, Pl:1486;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 1.350,0;;0,09;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.289;1086;11/12/2025;Camino Truncado;55;55 - Ha:2.100, Pl:3577;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.150,0;;0,21;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.288;1086;11/12/2025;Camino Truncado;53;53 - Ha:2.200, Pl:3617;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.300,0;;0,22;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.287;1086;11/12/2025;Camino Truncado;22;22 - Ha:2.800, Pl:4692;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 4.350,0;;0,29;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.286;1086;11/12/2025;Camino Truncado;10;10 - Ha:1.900, Pl:3171;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 2.850,0;;0,19;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.849;1202;10/12/2025;Puente Alto;7;7 - Ha:1.150, Pl:2450;Uva;Selma;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
73.848;1202;10/12/2025;Puente Alto;1;1 - Ha:4.680, Pl:6302;Uva;Selma;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
72.332;;10/12/2025;La Chimbera;19;19 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;HERBICIDA MOCHILA;$ 8.769,1;;0,75;;;juanpablo;;Día Lab.;Confirmada
72.296;1087;10/12/2025;Camino Truncado;57;57 - Ha:0.800, Pl:1391;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.050,0;;0,07;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.295;1087;10/12/2025;Camino Truncado;56;56 - Ha:1.800, Pl:3009;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.400,0;;0,16;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.294;1087;10/12/2025;Camino Truncado;51;51 - Ha:3.000, Pl:4182;Uva;Sultanina;APLICACIONES;FERTILIZACION;$ 4.050,0;;0,27;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.293;1087;10/12/2025;Camino Truncado;23;23 - Ha:1.400, Pl:2412;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.950,0;;0,13;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.292;1087;10/12/2025;Camino Truncado;21;21 - Ha:2.600, Pl:4396;Uva;Flame;APLICACIONES;FERTILIZACION;$ 3.450,0;;0,23;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.291;1087;10/12/2025;Camino Truncado;20;20 - Ha:1.500, Pl:2449;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.100,0;;0,14;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.324;;9/12/2025;La Chimbera;21;21 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;HERBICIDA MOCHILA;$ 23.797,9;;1,89;;;juanpablo;;Día Lab.;Confirmada
72.323;;9/12/2025;La Chimbera;26;26 - Ha:2.900, Pl:4608;;Arizul;APLICACIONES;HERBICIDA MOCHILA;$ 14.278,7;;1,14;;;juanpablo;;Día Lab.;Confirmada
72.285;1085;7/12/2025;Camino Truncado;59;59 - Ha:0.900, Pl:1486;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 1.350,0;;0,09;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.284;1085;7/12/2025;Camino Truncado;55;55 - Ha:2.100, Pl:3577;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.150,0;;0,21;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.283;1085;7/12/2025;Camino Truncado;53;53 - Ha:2.200, Pl:3617;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.300,0;;0,22;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.282;1085;7/12/2025;Camino Truncado;22;22 - Ha:2.800, Pl:4692;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 4.350,0;;0,29;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.281;1085;7/12/2025;Camino Truncado;10;10 - Ha:1.900, Pl:3171;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 2.850,0;;0,19;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.28;1084;6/12/2025;Camino Truncado;58;58 - Ha:2.100, Pl:3577;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 3.600,0;;0,24;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.279;1084;6/12/2025;Camino Truncado;54;54 - Ha:1.100, Pl:1794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 1.950,0;;0,13;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.278;1084;6/12/2025;Camino Truncado;52;52 - Ha:2.000, Pl:3332;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 3.450,0;;0,23;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.277;1084;6/12/2025;Camino Truncado;19;19 - Ha:1.300, Pl:2166;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 2.250,0;;0,15;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
72.276;1084;6/12/2025;Camino Truncado;18;18 - Ha:2.100, Pl:3420;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 3.750,0;;0,25;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
73.847;73847;5/12/2025;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
73.846;73846;5/12/2025;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Envero/Cosecha;Día Lab.;Confirmada
72.275;1083;5/12/2025;Camino Truncado;9;9 - Ha:2.700, Pl:4039;Uva;Sultanina;APLICACIONES;FERTILIZACION;$ 4.500,0;;0,24;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.274;1083;5/12/2025;Camino Truncado;8;8 - Ha:2.400, Pl:9796;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 3.937,5;;0,21;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.273;1083;5/12/2025;Camino Truncado;4;4 - Ha:3.000, Pl:4853;Uva;Flame;APLICACIONES;FERTILIZACION;$ 5.062,5;;0,27;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.272;1083;5/12/2025;Camino Truncado;17;17 - Ha:3.200, Pl:6136;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 5.250,0;;0,28;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.58;;5/12/2025;La Chimbera;26;26 - Ha:2.900, Pl:4608;;Arizul;APLICACIONES;HERBICIDA MOCHILA;$ 10.038,3;;1,00;;;juanpablo;;Día Lab.;Confirmada
72.271;1082;4/12/2025;Camino Truncado;58;58 - Ha:2.100, Pl:3577;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 4.500,0;;0,24;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.27;1082;4/12/2025;Camino Truncado;54;54 - Ha:1.100, Pl:1794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 2.437,5;;0,13;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.269;1082;4/12/2025;Camino Truncado;52;52 - Ha:2.000, Pl:3332;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 4.312,5;;0,23;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.268;1082;4/12/2025;Camino Truncado;19;19 - Ha:1.300, Pl:2166;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 2.812,5;;0,15;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.267;1082;4/12/2025;Camino Truncado;18;18 - Ha:2.100, Pl:3420;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 4.687,5;;0,25;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.266;1081;4/12/2025;Camino Truncado;59;59 - Ha:0.900, Pl:1486;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 1.350,0;;0,09;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.265;1081;4/12/2025;Camino Truncado;55;55 - Ha:2.100, Pl:3577;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.150,0;;0,21;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.264;1081;4/12/2025;Camino Truncado;53;53 - Ha:2.200, Pl:3617;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 3.300,0;;0,22;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.263;1081;4/12/2025;Camino Truncado;22;22 - Ha:2.800, Pl:4692;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 4.350,0;;0,29;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.262;1081;4/12/2025;Camino Truncado;10;10 - Ha:1.900, Pl:3171;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 2.850,0;;0,19;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.805;71805;4/12/2025;Puente Alto;2;2 - Ha:5.130, Pl:8556;Uva;Flame;APLICACIONES;HERBICIDA MOCHILA;$ 0,0;;0,00;;marcelow;javier;Flor/Envero;Día Lab.;Confirmada
71.726;1033;4/12/2025;Camino Truncado;57;57 - Ha:0.800, Pl:1391;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.050,0;;0,07;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.725;1033;4/12/2025;Camino Truncado;56;56 - Ha:1.800, Pl:3009;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.400,0;;0,16;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.724;1033;4/12/2025;Camino Truncado;51;51 - Ha:3.000, Pl:4182;Uva;Sultanina;APLICACIONES;FERTILIZACION;$ 4.050,0;;0,27;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.723;1033;4/12/2025;Camino Truncado;23;23 - Ha:1.400, Pl:2412;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.950,0;;0,13;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.722;1033;4/12/2025;Camino Truncado;21;21 - Ha:2.600, Pl:4396;Uva;Flame;APLICACIONES;FERTILIZACION;$ 3.450,0;;0,23;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.721;1033;4/12/2025;Camino Truncado;20;20 - Ha:1.500, Pl:2449;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.100,0;;0,14;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.495;;4/12/2025;La Chimbera;27;27 - Ha:2.900, Pl:4576;;Arizul;APLICACIONES;AF - PRECOSECHA;$ 9.375,0;;0,50;;;juanpablo;;Día Lab.;Confirmada
71.494;;4/12/2025;La Chimbera;27;27 - Ha:2.900, Pl:4576;;Arizul;APLICACIONES;AF - PRECOSECHA;$ 4.687,5;;0,25;;;juanpablo;;Día Lab.;Confirmada
71.493;;4/12/2025;La Chimbera;25;25 - Ha:2.800, Pl:4544;;Arizul;APLICACIONES;AF - PRECOSECHA;$ 11.718,7;;0,63;;;juanpablo;;Día Lab.;Confirmada
71.492;;4/12/2025;La Chimbera;26;26 - Ha:2.900, Pl:4608;;Arizul;APLICACIONES;AF - PRECOSECHA;$ 2.343,7;;0,13;;;juanpablo;;Día Lab.;Confirmada
71.491;;4/12/2025;La Chimbera;26;26 - Ha:2.900, Pl:4608;;Arizul;APLICACIONES;AF - PRECOSECHA;$ 778,7;;0,38;;;juanpablo;;Día Lab.;Confirmada
71.49;;4/12/2025;La Chimbera;24;24 - Ha:2.800, Pl:4536;;Arizul;APLICACIONES;AF - PRECOSECHA;$ 1.297,9;;0,63;;;juanpablo;;Día Lab.;Confirmada
71.489;;4/12/2025;La Chimbera;27;27 - Ha:2.900, Pl:4576;;Arizul;APLICACIONES;FERTILIZACION;$ 709,0;;0,32;;;juanpablo;;Día Lab.;Confirmada
71.488;;4/12/2025;La Chimbera;24;24 - Ha:2.800, Pl:4536;;Arizul;APLICACIONES;FERTILIZACION;$ 684,9;;0,31;;;juanpablo;;Día Lab.;Confirmada
71.487;;4/12/2025;La Chimbera;18;18 - Ha:4.400, Pl:7040;;Flame;APLICACIONES;FERTILIZACION;$ 1.075,6;;0,49;;;juanpablo;;Día Lab.;Confirmada
71.486;;4/12/2025;La Chimbera;26;26 - Ha:2.900, Pl:4608;;Arizul;APLICACIONES;FERTILIZACION;$ 7.449,0;;0,34;;;juanpablo;;Día Lab.;Confirmada
71.485;;4/12/2025;La Chimbera;21;21 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 5.668,2;;0,26;;;juanpablo;;Día Lab.;Confirmada
71.484;;4/12/2025;La Chimbera;16;16 - Ha:4.400, Pl:7040;;Flame;APLICACIONES;FERTILIZACION;$ 11.314,7;;0,52;;;juanpablo;;Día Lab.;Confirmada
71.483;;4/12/2025;La Chimbera;25;25 - Ha:2.800, Pl:4544;;Arizul;APLICACIONES;FERTILIZACION;$ 6.276,3;;0,29;;;juanpablo;;Día Lab.;Confirmada
71.482;;4/12/2025;La Chimbera;19;19 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 4.929,8;;0,23;;;juanpablo;;Día Lab.;Confirmada
71.481;;4/12/2025;La Chimbera;17;17 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 4.929,8;;0,23;;;juanpablo;;Día Lab.;Confirmada
71.48;;4/12/2025;La Chimbera;15;15 - Ha:3.700, Pl:5900;;Flame;APLICACIONES;FERTILIZACION;$ 8.296,0;;0,38;;;juanpablo;;Día Lab.;Confirmada
71.479;;4/12/2025;La Chimbera;27;27 - Ha:2.900, Pl:4576;;Arizul;APLICACIONES;HERBICIDA MOCHILA;$ 38.250,0;;2,25;;;juanpablo;;Día Lab.;Confirmada
71.478;;4/12/2025;La Chimbera;25;25 - Ha:2.800, Pl:4544;;Arizul;APLICACIONES;HERBICIDA MOCHILA;$ 12.750,0;;0,75;;;juanpablo;;Día Lab.;Confirmada
72.261;1080;3/12/2025;Camino Truncado;9;9 - Ha:2.700, Pl:4039;Uva;Sultanina;APLICACIONES;FERTILIZACION;$ 4.500,0;;0,24;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.26;1080;3/12/2025;Camino Truncado;8;8 - Ha:2.400, Pl:9796;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 3.937,5;;0,21;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.259;1080;3/12/2025;Camino Truncado;4;4 - Ha:3.000, Pl:4853;Uva;Flame;APLICACIONES;FERTILIZACION;$ 5.062,5;;0,27;;marcelow;;Flor/Envero;Día Lab.;Confirmada
72.258;1080;3/12/2025;Camino Truncado;17;17 - Ha:3.200, Pl:6136;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 5.250,0;;0,28;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.804;71804;3/12/2025;Puente Alto;1;1 - Ha:4.680, Pl:6302;Uva;Selma;APLICACIONES;HERBICIDA MOCHILA;$ 0,0;;0,00;;marcelow;javier;Flor/Envero;Día Lab.;Confirmada
71.72;1032;3/12/2025;Camino Truncado;57;57 - Ha:0.800, Pl:1391;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.050,0;;0,07;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.719;1032;3/12/2025;Camino Truncado;56;56 - Ha:1.800, Pl:3009;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.400,0;;0,16;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.718;1032;3/12/2025;Camino Truncado;51;51 - Ha:3.000, Pl:4182;Uva;Sultanina;APLICACIONES;FERTILIZACION;$ 4.050,0;;0,27;;marcelow;;Flor/Envero;Día Lab.;Confirmada
71.717;1032;3/12/2025;Camino Truncado;23;23 - Ha:1.400, Pl:2412;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.950,0;;0,13;;marcelow;;Flor/Envero;Día Lab.;Confirmada
