ID;CODIGO;NOMBRE DE FAENA;NOMBRE LABOR;PRECIO;RENDIMIENTO;ID LABOR
87; CF004;TRABAJOS VERDE;RALEO DE RACIMOS(30CM);$ 0,00;0;182
87; CF004;TRABAJOS VERDE;DESBROTE DOV 1;$ 0,00;0;201
87; CF004;TRABAJOS VERDE;DESBROTE DOV 2;$ 0,00;0;202
87; CF004;TRABAJOS VERDE;DESBROTE DOV 3;$ 0,00;0;203
87; CF004;TRABAJOS VERDE;DESBROTE CON CRITERIO DE PODA;$ 0,00;0;204
87; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 1;$ 0,00;0;205
87; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 2;$ 0,00;0;206
87; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 3;$ 0,00;0;207
87; CF004;TRABAJOS VERDE;ACOMODO DE BROTE POST ZONDA;$ 0,00;0;219
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 7;$ 0,00;0;232
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 8;$ 0,00;0;233
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 9;$ 0,00;0;241
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 10;$ 0,00;0;245
87; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 4;$ 0,00;0;296
88;CF005;COSECHA;COSECHA CAJONES;$ 0,00;0;50
88;CF005;COSECHA;COSECHA BINES;$ 300,00;0;51
88;CF005;COSECHA; SUPERVISION COSECHA;$ 0,00;0;52
88;CF005;COSECHA; COSECHA MECANICA;$ 0,00;0;53
88;CF005;COSECHA;TRACTORISTA UÑAS;$ 0,00;0;54
88;CF005;COSECHA; LIMPIEZA BINS;$ 0,00;0;55
88;CF005;COSECHA;TRACTORISTA CARRO;$ 0,00;0;56
88;CF005;COSECHA;TRACTO ELEVADOR;$ 0,00;0;57
88;CF005;COSECHA;LIMPIEZA CAJONES;$ 0,00;0;58
88;CF005;COSECHA;REPARACION ENVASES;$ 0,00;0;59
88;CF005;COSECHA;TRACTORISTA REGADOR;$ 0,00;0;60
88;CF005;COSECHA;COSECHA KG 1;$ 0,00;0;155
88;CF005;COSECHA;COSECHA BINS (DIA);$ 0,00;0;172
88;CF005;COSECHA;ANOTADOR COSECHA;$ 0,00;0;173
88;CF005;COSECHA;ENCARGADO;$ 0,00;0;174
88;CF005;COSECHA;COSECHA CARRO;$ 0,00;0;185
88;CF005;COSECHA;COSECHA DOV;$ 0,00;0;187
88;CF005;COSECHA;CONTROL ;$ 0,00;0;188
88;CF005;COSECHA;TENDIDO 1;$ 0,00;0;215
88;CF005;COSECHA;TENDIDO 2;$ 0,00;0;216
88;CF005;COSECHA;TENDIDO 3;$ 0,00;0;217
88;CF005;COSECHA;TENDIDO 4;$ 0,00;0;218
88;CF005;COSECHA;CORTE DOV;$ 0,00;0;220
88;CF005;COSECHA;COSECHA KG 2;$ 0,00;0;225
88;CF005;COSECHA;COSECHA KG 3;$ 0,00;0;226
88;CF005;COSECHA;COSECHA KG 4;$ 0,00;0;227
88;CF005;COSECHA;LEVANTADO 1;$ 0,00;0;228
88;CF005;COSECHA;LEVANTADO 2;$ 0,00;0;229
88;CF005;COSECHA;LEVANTADO 3;$ 0,00;0;230
88;CF005;COSECHA;LEVANTADO 4;$ 0,00;0;231
88;CF005;COSECHA;FICHERO;$ 0,00;0;237
88;CF005;COSECHA;TRACTORISTA  ACOPLADO;$ 0,00;0;242
88;CF005;COSECHA;COSECHA GAMELAS;$ 0,00;0;276
88;CF005;COSECHA;COSECHA DOV BINS;$ 0,00;0;277
88;CF005;COSECHA;COSECHA KG 5;$ 0,00;0;289
88;CF005;COSECHA;LEVANTADO 5;$ 0,00;0;290
88;CF005;COSECHA;COSECHA REPASO;$ 0,00;0;291
88;CF005;COSECHA;COSECHA REPASO BINS;$ 0,00;0;292
89;;SECADERO;PESAJE;$ 0,00;0;61
89;;SECADERO;TRACTORISTA UÑAS;$ 0,00;0;62
89;;SECADERO;TRACTORISTA CARRO;$ 0,00;0;63
89;;SECADERO;TRACTO ELEVADOR;$ 0,00;0;64
89;;SECADERO;TRACTORISTA REGADOR;$ 0,00;0;65
89;;SECADERO;SUPERVISION ;$ 0,00;0;66
89;;SECADERO;TENDER LONAS;$ 0,00;0;67
89;;SECADERO;REPARAR LONAS;$ 0,00;0;68
89;;SECADERO;LEVANTAR LONAS;$ 0,00;0;69
89;;SECADERO;TENDER UVA DE CAJONES;$ 0,00;0;70
89;;SECADERO;ESPARCIR UVA BINES;$ 0,00;0;71
89;;SECADERO;ACORDONAR LA PASA;$ 0,00;0;72
89;;SECADERO;ABRIR LA PASA;$ 0,00;0;73
89;;SECADERO;CURAR LA PASA;$ 0,00;0;74
89;;SECADERO;DESGARGA DE CAMIONES;$ 0,00;0;75
89;;SECADERO;ARMAR Y DESARMAR ESTRUCTURAS;$ 0,00;0;76
89;;SECADERO;SERENO;$ 0,00;0;77
89;;SECADERO;LEVANTAR PASA;$ 0,00;0;138
89;;SECADERO;TRACTORIASTA VOLCADOR;$ 0,00;0;156
89;;SECADERO;CINCELADO DE PIEDRAS ;$ 0,00;0;157
89;;SECADERO;TRACTORITA GENERAL;$ 0,00;0;162
89;;SECADERO;VOLTEAR PASA;$ 0,00;0;168
89;;SECADERO;DESPARAMAR UVA ;$ 0,00;0;186
89;;SECADERO;LIMPIEZA DE SECADERO;$ 0,00;0;223
89;;SECADERO;CORTAR LONAS ;$ 0,00;0;238
89;;SECADERO;TRACTORISTA  ACOPLADO ;$ 0,00;0;240
90;;RIEGO;RIEGO GOTEO;$ 0,00;0;78
90;;RIEGO;RIEGO MANTO;$ 0,00;0;79
90;;RIEGO;AYUDA DE RIEGO;$ 0,00;0;80
90;;RIEGO;MANTENIMIENTO;$ 0,00;0;81
90;;RIEGO;LAVADO DE MANGUERAS;$ 0,00;0;82
90;;RIEGO;CALICATA;$ 0,00;0;83
90;;RIEGO;MOVIMIENTO DE MANGUERAS;$ 0,00;0;84
90;;RIEGO;SERENO;$ 0,00;0;128
90;;RIEGO;ARMADO DE CAÑERIA ;$ 0,00;0;180
91; CF007;OTRAS LABORES;CONTROL MALEZA;$ 0,00;0;85
91; CF007;OTRAS LABORES;OTRAS LABORES;$ 0,00;0;86
91; CF007;OTRAS LABORES;HORMIGAS;$ 0,00;0;87
91; CF007;OTRAS LABORES;CONTEO,MONITOREO,MUESTREO;$ 0,00;0;88
91; CF007;OTRAS LABORES;LIMPIEZA Y ASEO;$ 0,00;0;89
91; CF007;OTRAS LABORES;JARDINERIA;$ 0,00;0;90
91; CF007;OTRAS LABORES;OTROS REMUNERACIONES;$ 0,00;0;91
91; CF007;OTRAS LABORES;PLANTACION FISICA;$ 0,00;0;92
91; CF007;OTRAS LABORES;LABORES ADM Y SUPERVISION;$ 0,00;0;93
91; CF007;OTRAS LABORES;DESMALEZAMIENTO MANUAL 1;$ 0,00;0;94
91; CF007;OTRAS LABORES;CAPACITACION DE PERSONAL;$ 0,00;0;95
91; CF007;OTRAS LABORES;INASISTENCIA;$ 0,00;0;96
91; CF007;OTRAS LABORES;VACACIONES;$ 0,00;0;97
91; CF007;OTRAS LABORES;PARTE ENFERMO;$ 0,00;0;98
91; CF007;OTRAS LABORES;FALTA SIN AVISO;$ 0,00;0;99
91; CF007;OTRAS LABORES;FALTAS JUSTIFICADAS;$ 0,00;0;100
91; CF007;OTRAS LABORES;SUSPENSION;$ 0,00;0;101
91; CF007;OTRAS LABORES;FERIADO;$ 0,00;0;102
91; CF007;OTRAS LABORES;LLUVIA;$ 0,00;0;103
91; CF007;OTRAS LABORES;INSTALACION SIST. DE RIEGO;$ 0,00;0;104
91; CF007;OTRAS LABORES; TRASLADO DE MAQUINARIA, INSUM;$ 0,00;0;105
91; CF007;OTRAS LABORES; DESCARGA DE CAMION;$ 0,00;0;106
91; CF007;OTRAS LABORES;MOVIMIENTO INTERNO;$ 0,00;0;107
91; CF007;OTRAS LABORES;LEVANTAR MANGUERAS;$ 0,00;0;108
91; CF007;OTRAS LABORES; SIEMBRA VERDEO;$ 0,00;0;109
91; CF007;OTRAS LABORES;SEGURIDAD;$ 0,00;0;137
91; CF007;OTRAS LABORES;ENCARGADO;$ 0,00;0;140
91; CF007;OTRAS LABORES;REPLANTADO;$ 0,00;0;142
91; CF007;OTRAS LABORES;PLASTICO ;$ 0,00;0;148
91; CF007;OTRAS LABORES;HELADAS ;$ 0,00;0;152
91; CF007;OTRAS LABORES;COSECHA BINS (DIA);$ 0,00;0;159
91; CF007;OTRAS LABORES;APLICACION DE PRODUCTO CON MOCHILA;$ 0,00;0;175
91; CF007;OTRAS LABORES;TALLER;$ 0,00;0;189
91; CF007;OTRAS LABORES;REPARACION BINS;$ 0,00;0;191
91; CF007;OTRAS LABORES;DOSIFICADORES;$ 0,00;0;192
91; CF007;OTRAS LABORES;DESMALEZAMIENTO MANUAL 2;$ 0,00;0;199
91; CF007;OTRAS LABORES;DESMALEZAMIENTO MANUAL 3;$ 0,00;0;200
91; CF007;OTRAS LABORES;DESNIETE, DESHOJE;$ 0,00;0;224
91; CF007;OTRAS LABORES;DESMALEZAMIENTO MANUAL 4;$ 0,00;0;244
91; CF007;OTRAS LABORES;CALICATA ;$ 0,00;0;246
91; CF007;OTRAS LABORES;FERTILIZACION MANUAL;$ 0,00;0;295
92; CF006;MANTENCION DE ESTRUCTURA;MANTENCION Y REPARACION ESTRUCTURA;$ 0,00;0;110
92; CF006;MANTENCION DE ESTRUCTURA;ARREGLO ALAMBRADO PERIMETRAL;$ 0,00;0;111
92; CF006;MANTENCION DE ESTRUCTURA;MANTENIMIENTO DE EDIFICIOS;$ 0,00;0;112
92; CF006;MANTENCION DE ESTRUCTURA;MANTENCION CAMINOS;$ 0,00;0;113
92; CF006;MANTENCION DE ESTRUCTURA;LIMPIEZA CANALES Y DESAGUES;$ 0,00;0;114
92; CF006;MANTENCION DE ESTRUCTURA;CABRAS;$ 0,00;0;115
92; CF006;MANTENCION DE ESTRUCTURA;COLOCACIÃ“N DE ALAMBRES;$ 0,00;0;116
92; CF006;MANTENCION DE ESTRUCTURA;DESARMAR PARRALES;$ 0,00;0;117
92; CF006;MANTENCION DE ESTRUCTURA;ARMAR PARRALES;$ 0,00;0;118
92; CF006;MANTENCION DE ESTRUCTURA;ACARREO DE MADERA;$ 0,00;0;134
93;CF008;LABORES MECANICA;TRITURADO DE  SARMIENTO;$ 0,00;0;119
93;CF008;LABORES MECANICA;UÑAS;$ 0,00;0;120
93;CF008;LABORES MECANICA;PREPODA;$ 0,00;0;121
93;CF008;LABORES MECANICA;TRITURADO DE MALEZAS;$ 0,00;0;122
93;CF008;LABORES MECANICA;CINCELAR;$ 0,00;0;123
93;CF008;LABORES MECANICA;ZANJEAR;$ 0,00;0;124
93;CF008;LABORES MECANICA;SUBSOLAR;$ 0,00;0;125
93;CF008;LABORES MECANICA; RASTREAR;$ 0,00;0;126
