ID;CODIGO;NOMBRE DE FAENA;NOMBRE LABOR;PRECIO;RENDIMIENTO;ID LABOR
5;CF003;APLICACIONES;AF - POST-COSECHA 2;$ 0,00;0;269
5;CF003;APLICACIONES;AF - POST-COSECHA 3;$ 0,00;0;270
5;CF003;APLICACIONES;AF-DRON;$ 0,00;0;297
6;CF005;COSECHA;COSECHA CAJONES;$ 0,00;0;50
6;CF005;COSECHA;COSECHA BINES;$ 300,00;0;51
6;CF005;COSECHA;SUPERVISION COSECHA;$ 0,00;0;52
6;CF005;COSECHA;COSECHA MECANICA;$ 0,00;0;53
6;CF005;COSECHA;TRACTORISTA UÑAS;$ 0,00;0;54
6;CF005;COSECHA;LIMPIEZA BINS;$ 0,00;0;55
6;CF005;COSECHA;TRACTORISTA CARRO;$ 0,00;0;56
6;CF005;COSECHA;TRACTO ELEVADOR;$ 0,00;0;57
6;CF005;COSECHA;LIMPIEZA CAJONES;$ 0,00;0;58
6;CF005;COSECHA;REPARACION ENVASES;$ 0,00;0;59
6;CF005;COSECHA;TRACTORISTA REGADOR;$ 0,00;0;60
6;CF005;COSECHA;COSECHA KG 1;$ 0,00;0;155
6;CF005;COSECHA;COSECHA BINS (DIA);$ 0,00;0;172
6;CF005;COSECHA;ANOTADOR COSECHA;$ 0,00;0;173
6;CF005;COSECHA;ENCARGADO;$ 0,00;0;174
6;CF005;COSECHA;COSECHA CARRO;$ 0,00;0;185
6;CF005;COSECHA;COSECHA DOV;$ 0,00;0;187
6;CF005;COSECHA;CONTROL;$ 0,00;0;188
6;CF005;COSECHA;TENDIDO 1;$ 0,00;0;215
6;CF005;COSECHA;TENDIDO 2;$ 0,00;0;216
6;CF005;COSECHA;TENDIDO 3;$ 0,00;0;217
6;CF005;COSECHA;TENDIDO 4;$ 0,00;0;218
6;CF005;COSECHA;CORTE DOV;$ 0,00;0;220
6;CF005;COSECHA;COSECHA KG 2;$ 0,00;0;225
6;CF005;COSECHA;COSECHA KG 3;$ 0,00;0;226
6;CF005;COSECHA;COSECHA KG 4;$ 0,00;0;227
6;CF005;COSECHA;LEVANTADO 1;$ 0,00;0;228
6;CF005;COSECHA;LEVANTADO 2;$ 0,00;0;229
6;CF005;COSECHA;LEVANTADO 3;$ 0,00;0;230
6;CF005;COSECHA;LEVANTADO 4;$ 0,00;0;231
6;CF005;COSECHA;FICHERO;$ 0,00;0;237
6;CF005;COSECHA;TRACTORISTA ACOPLADO;$ 0,00;0;242
6;CF005;COSECHA;COSECHA GAMELAS;$ 0,00;0;276
6;CF005;COSECHA;COSECHA DOV BINS;$ 0,00;0;277
6;CF005;COSECHA;COSECHA KG 5;$ 0,00;0;289
6;CF005;COSECHA;LEVANTADO 5;$ 0,00;0;290
6;CF005;COSECHA;COSECHA REPASO;$ 0,00;0;291
6;CF005;COSECHA;COSECHA REPASO BINS;$ 0,00;0;292
7;;SECADERO;PESAJE;$ 0,00;0;61
7;;SECADERO;TRACTORISTA UÑAS;$ 0,00;0;62
7;;SECADERO;TRACTORISTA CARRO;$ 0,00;0;63
7;;SECADERO;TRACTO ELEVADOR;$ 0,00;0;64
7;;SECADERO;TRACTORISTA REGADOR;$ 0,00;0;65
7;;SECADERO;SUPERVISION;$ 0,00;0;66
7;;SECADERO;TENDER LONAS;$ 0,00;0;67
7;;SECADERO;REPARAR LONAS;$ 0,00;0;68
7;;SECADERO;LEVANTAR LONAS;$ 0,00;0;69
7;;SECADERO;TENDER UVA DE CAJONES;$ 0,00;0;70
7;;SECADERO;ESPARCIR UVA BINES;$ 0,00;0;71
7;;SECADERO;ACORDONAR LA PASA;$ 0,00;0;72
7;;SECADERO;ABRIR LA PASA;$ 0,00;0;73
7;;SECADERO;CURAR LA PASA;$ 0,00;0;74
7;;SECADERO;DESCARGA DE CAMIONES;$ 0,00;0;75
7;;SECADERO;ARMAR Y DESARMAR ESTRUCTURAS;$ 0,00;0;76
7;;SECADERO;SERENO;$ 0,00;0;77
7;;SECADERO;LEVANTAR PASA;$ 0,00;0;138
7;;SECADERO;TRACTORIASTA VOLCADOR;$ 0,00;0;156
7;;SECADERO;CINCELADO DE PIEDRAS;$ 0,00;0;157
7;;SECADERO;TRACTORITA GENERAL;$ 0,00;0;162
7;;SECADERO;VOLTEAR PASA;$ 0,00;0;168
7;;SECADERO;DESPARAMAR UVA;$ 0,00;0;186
7;;SECADERO;LIMPIEZA DE SECADERO;$ 0,00;0;223
7;;SECADERO;CORTAR LONAS;$ 0,00;0;238
7;;SECADERO;TRACTORISTA ACOPLADO;$ 0,00;0;240
8;;PLANTACIONES NUEVAS;HOYADO;$ 0,00;0;143
8;;PLANTACIONES NUEVAS;PLANTACIÓN;$ 0,00;0;144
8;;PLANTACIONES NUEVAS;RETAPADO;$ 0,00;0;184
8;;PLANTACIONES NUEVAS;DESBROTE DE PLANTAS NUEVAS 1;$ 0,00;0;193
8;;PLANTACIONES NUEVAS;DESBROTE DE PLANTAS NUEVAS 2;$ 0,00;0;194
8;;PLANTACIONES NUEVAS;DESBROTE DE PLANTAS NUEVAS 3;$ 0,00;0;
