FINCA;ITEMS;UNIFICACION;USD;Año;Has;Valor inicial;Fincas;% de mod;USD Final
02 - CAMINO TRUNCADO;PERSONAL FINCA;Permanentes;39619;2026;66,04;;Fincas Viejas;;39619
02 - CAMINO TRUNCADO;SECADO;Combustible Secado;1432;2026;66,04;;Fincas Viejas;;1432
02 - CAMINO TRUNCADO;SECADO;Jornales Secado;9219;2026;66,04;;Fincas Viejas;;9219
03 - PUENTE ALTO;ADMINISTRACION;Administración Rosario;14220;2026;26,18;;Fincas Viejas;;14220
03 - PUENTE ALTO;ADMINISTRACION;Administración San Juan;6930;2026;26,18;;Fincas Viejas;;6930
03 - PUENTE ALTO;COMBUSTIBLE Y MANTENIMIENTO;Bins;216;2026;26,18;;Fincas Viejas;;216
03 - PUENTE ALTO;COMBUSTIBLE Y MANTENIMIENTO;Combustible y Lubricantes;3081;2026;26,18;;Fincas Viejas;;3081
03 - PUENTE ALTO;COMBUSTIBLE Y MANTENIMIENTO;Fletes Varios;620;2026;26,18;;Fincas Viejas;;620
03 - PUENTE ALTO;COMBUSTIBLE Y MANTENIMIENTO;Insumos menores;3381;2026;26,18;;Fincas Viejas;;3381
03 - PUENTE ALTO;COMBUSTIBLE Y MANTENIMIENTO;Reparaciones Repuestos;6815;2026;26,18;;Fincas Viejas;;6815
03 - PUENTE ALTO;COSECHA;Combustible Cosecha;209;2026;26,18;;Fincas Viejas;;209
03 - PUENTE ALTO;COSECHA;Cosecha;3899;2026;26,18;;Fincas Viejas;;3899
03 - PUENTE ALTO;ENERGIA FINCAS;Energia Fincas;1104;2026;26,18;;Fincas Viejas;;1104
03 - PUENTE ALTO;FERTILIZANTES;Inorgánicos;;2026;26,18;;Fincas Viejas;;
03 - PUENTE ALTO;FITOSANITARIOS;Coadyuvantes;85;2026;26,18;;Fincas Viejas;;85
03 - PUENTE ALTO;FITOSANITARIOS;Foliares;3658;2026;26,18;;Fincas Viejas;;3658
03 - PUENTE ALTO;FITOSANITARIOS;Fungicidas;1038;2026;26,18;;Fincas Viejas;;1038
03 - PUENTE ALTO;FITOSANITARIOS;Herbicidas;646;2026;26,18;;Fincas Viejas;;646
03 - PUENTE ALTO;FITOSANITARIOS;Hormonas;1260;2026;26,18;;Fincas Viejas;;1260
03 - PUENTE ALTO;INVERSIONES;Inversiones;136444;2026;26,18;;Fincas Viejas;;136444
03 - PUENTE ALTO;PERSONAL FINCA;Cargas Sociales;2932;2026;26,18;;Fincas Viejas;;2932
